date,1. open,2. high,3. low,4. close,5. volume
2019-03-04 13:45:00,9.65,9.65,9.65,9.65,135.0
2019-03-04 13:46:00,9.65,9.65,9.65,9.65,220.0
2019-03-04 13:51:00,9.665,9.665,9.665,9.665,219.0
2019-03-04 13:53:00,9.6737,9.6737,9.6737,9.6737,2000.0
2019-03-04 13:55:00,9.665,9.665,9.65,9.65,1600.0
2019-03-04 13:57:00,9.61,9.61,9.61,9.61,500.0
2019-03-04 13:59:00,9.559,9.559,9.559,9.559,854.0
2019-03-04 14:00:00,9.55,9.55,9.55,9.55,523.0
2019-03-04 14:02:00,9.55,9.55,9.55,9.55,340.0
2019-03-04 14:04:00,9.55,9.55,9.55,9.55,832.0
2019-03-04 14:08:00,9.53,9.53,9.53,9.53,344.0
2019-03-04 14:09:00,9.545,9.545,9.545,9.545,584.0
2019-03-04 14:11:00,9.5275,9.5275,9.5275,9.5275,198.0
2019-03-04 14:13:00,9.52,9.52,9.52,9.52,1062.0
2019-03-04 14:14:00,9.52,9.52,9.52,9.52,981.0
2019-03-04 14:15:00,9.52,9.52,9.52,9.52,629.0
2019-03-04 14:17:00,9.5102,9.5102,9.5102,9.5102,924.0
2019-03-04 14:19:00,9.5,9.5,9.43,9.43,1838.0
2019-03-04 14:24:00,9.45,9.45,9.45,9.45,110.0
2019-03-04 14:28:00,9.47,9.51,9.47,9.51,2589.0
2019-03-04 14:31:00,9.5,9.5,9.5,9.5,711.0
2019-03-04 14:35:00,9.5225,9.5225,9.5225,9.5225,520.0
2019-03-04 14:38:00,9.5,9.5,9.49,9.49,1940.0
2019-03-04 14:45:00,9.4571,9.4571,9.4571,9.4571,200.0
2019-03-04 14:47:00,9.48,9.48,9.48,9.48,441.0
2019-03-04 14:49:00,9.48,9.5025,9.48,9.5025,2278.0
2019-03-04 14:50:00,9.5,9.5,9.5,9.5,1426.0
2019-03-04 14:54:00,9.47,9.47,9.47,9.47,800.0
2019-03-04 14:57:00,9.5007,9.5007,9.5007,9.5007,102.0
2019-03-04 15:01:00,9.485,9.485,9.485,9.485,696.0
2019-03-04 15:05:00,9.49,9.49,9.49,9.49,700.0
2019-03-04 15:06:00,9.5175,9.52,9.515,9.515,3513.0
2019-03-04 15:10:00,9.54,9.54,9.54,9.54,648.0
2019-03-04 15:11:00,9.52,9.52,9.52,9.52,341.0
2019-03-04 15:14:00,9.545,9.545,9.545,9.545,401.0
2019-03-04 15:16:00,9.545,9.55,9.545,9.55,1779.0
2019-03-04 15:17:00,9.55,9.55,9.55,9.55,1016.0
2019-03-04 15:18:00,9.55,9.55,9.5,9.5,1753.0
2019-03-04 15:19:00,9.5,9.5,9.5,9.5,500.0
2019-03-04 15:20:00,9.5,9.5,9.5,9.5,816.0
2019-03-04 15:24:00,9.46,9.46,9.44,9.44,1003.0
2019-03-04 15:27:00,9.48,9.48,9.48,9.48,700.0
2019-03-04 15:28:00,9.495,9.495,9.495,9.495,713.0
2019-03-04 15:30:00,9.47,9.47,9.47,9.47,946.0
2019-03-04 15:31:00,9.45,9.45,9.3509,9.3509,2558.0
2019-03-04 15:33:00,9.37,9.37,9.37,9.37,1118.0
2019-03-04 15:35:00,9.34,9.34,9.34,9.34,814.0
2019-03-04 15:36:00,9.31,9.31,9.31,9.31,617.0
2019-03-04 15:37:00,9.31,9.31,9.31,9.31,479.0
2019-03-04 15:38:00,9.34,9.34,9.34,9.34,2428.0
2019-03-04 15:40:00,9.34,9.34,9.34,9.34,527.0
2019-03-04 15:41:00,9.34,9.34,9.34,9.34,1413.0
2019-03-04 15:43:00,9.336,9.336,9.336,9.336,864.0
2019-03-04 15:45:00,9.325,9.34,9.325,9.34,2716.0
2019-03-04 15:46:00,9.37,9.37,9.34,9.34,4228.0
2019-03-04 15:47:00,9.31,9.31,9.31,9.31,637.0
2019-03-04 15:48:00,9.3351,9.3351,9.3351,9.3351,686.0
2019-03-04 15:50:00,9.3,9.3,9.3,9.3,1009.0
2019-03-04 15:51:00,9.33,9.33,9.33,9.33,1364.0
2019-03-04 15:52:00,9.32,9.32,9.32,9.32,763.0
2019-03-04 15:53:00,9.3175,9.3175,9.31,9.31,2182.0
2019-03-04 15:54:00,9.31,9.31,9.31,9.31,666.0
2019-03-04 15:55:00,9.3,9.3,9.3,9.3,1228.0
2019-03-04 15:56:00,9.3,9.3,9.3,9.3,1991.0
2019-03-04 15:57:00,9.3,9.3,9.3,9.3,1249.0
2019-03-04 15:58:00,9.32,9.32,9.32,9.32,514.0
2019-03-04 15:59:00,9.34,9.34,9.3,9.3,4605.0
2019-03-04 16:00:00,9.24,9.24,9.22,9.22,5573.0
2019-03-05 09:32:00,9.31,9.31,9.31,9.31,4106.0
2019-03-05 09:35:00,9.65,9.65,9.65,9.65,521.0
2019-03-05 09:36:00,9.6913,9.6913,9.6913,9.6913,734.0
2019-03-05 09:38:00,9.475,9.475,9.475,9.475,386.0
2019-03-05 09:45:00,9.565,9.565,9.565,9.565,225.0
2019-03-05 09:50:00,9.57,9.57,9.57,9.57,1006.0
2019-03-05 09:51:00,9.58,9.58,9.58,9.58,158.0
2019-03-05 09:54:00,9.46,9.46,9.46,9.46,310.0
2019-03-05 09:56:00,9.4005,9.4005,9.4005,9.4005,1403.0
2019-03-05 09:58:00,9.2701,9.28,9.2701,9.28,944.0
2019-03-05 10:04:00,9.395,9.395,9.395,9.395,117.0
2019-03-05 10:05:00,9.3277,9.3277,9.3277,9.3277,292.0
2019-03-05 10:09:00,9.4,9.4,9.4,9.4,1185.0
2019-03-05 10:10:00,9.467,9.467,9.467,9.467,1408.0
2019-03-05 10:13:00,9.5,9.5,9.5,9.5,2650.0
2019-03-05 10:16:00,9.5042,9.5042,9.5042,9.5042,2100.0
2019-03-05 10:17:00,9.595,9.595,9.595,9.595,400.0
2019-03-05 10:20:00,9.595,9.595,9.595,9.595,302.0
2019-03-05 10:21:00,9.5,9.5,9.5,9.5,709.0
2019-03-05 10:26:00,9.51,9.51,9.51,9.51,202.0
2019-03-05 10:31:00,9.6,9.6,9.6,9.6,1100.0
